,Département de naissance,Département de mort,Nom
0,Inconnu,Inconnu,Damien Meslot
0,Finistère,Inconnu,Pierre-Yves Le Borgn'
0,Inconnu,Inconnu,Christine Cloarec-Le Nabour
0,Inconnu,Inconnu,Malek Boutih
0,Gard,Inconnu,Pascal Terrasse
0,Inconnu,Inconnu,Manuel Aeschlimann
0,La,Inconnu,David Lorion
0,La,Inconnu,Monique Orphé
0,Inconnu,Inconnu,Christine Pires Beaune
0,Loiret,Inconnu,Franck Marlin
0,Savoie,Inconnu,Béatrice Santais
0,Inconnu,Inconnu,Sylvain Brial
0,Haut-Rhin,Inconnu,Éric Straumann
0,Inconnu,Inconnu,Luc Chatel
0,Hautes-Pyrénées,Inconnu,Jean-Bernard Sempastous
0,Inconnu,Inconnu,Annick Girardin
0,Nord,Inconnu,Christophe Di Pompeo
0,Inconnu,Inconnu,Jérôme Rivière
0,Moselle,Inconnu,Patrick Hetzel
0,Drôme,Inconnu,Emmanuelle Anthoine
0,Inconnu,Inconnu,Napole Polutele
0,Inconnu,Inconnu,Stéphane Claireaux
0,Deux-Sèvres,Inconnu,Jean-Marie Fiévet
0,Seine,Inconnu,Agnès Thill
0,Inconnu,Inconnu,Stéphane Saint-André
0,Inconnu,Inconnu,Eric Berdoati
0,Inconnu,Inconnu,Jean-François Copé
0,La,Inconnu,Didier Robert
0,Inconnu,Inconnu,Sylviane Bulteau
0,Aude,Inconnu,Jean-Claude Perez
0,Moselle,Inconnu,Martine Wonner
0,Meurthe,Inconnu,Dominique Potier
0,Isère,Drôme,Stéphane Alaize
0,Charente-Inférieure,Inconnu,Jean-Philippe Ardouin
0,Nièvre,Inconnu,Patrice Perrot
0,Nord,Inconnu,Jacques Houssin
0,Savoie,Inconnu,Michèle De Vaucouleurs
0,Haute-Vienne,Inconnu,Catherine Beaubatie
0,Aveyron,Inconnu,Yves Censi
0,Loire-Inférieure,Inconnu,Alain Leboeuf
0,Inconnu,Inconnu,Thierry Braillard
0,Moselle,Inconnu,Philippe Bies
