,Nom,Né le
0,Ludovic Pajot,18 novembre 1993
1,Typhanie Degois,6 janvier 1993
2,Lénaïck Adam,19 février 1992
3,Pierre Henriet,26 novembre 1991
4,Robin Reda,10 mai 1991
5,Bénédicte Peyrol,23 mars 1991
6,Sandrine Le Feur,18 mars 1991
7,Dimitri Houbron,12 février 1991
8,Marie Lebec,17 décembre 1990
9,Mickaël Nogal,26 novembre 1990
10,Adrien Quatennens,23 mai 1990
11,Raphaël Schellenberger,14 février 1990
12,Hervé Berville,15 janvier 1990
13,Marion Maréchal-Le Pen,10 décembre 1989
14,Ugo Bernalicis,25 septembre 1989
15,Damien Adam,28 juin 1989
16,Gabriel Attal,16 mars 1989
17,Sarah El Haïry,16 mars 1989
18,Pierre Person,22 janvier 1989
19,Mathilde Panot,15 janvier 1989
20,Anne-Laure Cattelot,25 octobre 1988
21,Sacha Houlié,8 octobre 1988
22,Jean-Marc Zulesi,6 juin 1988
23,Ian Boucard,5 mai 1988
24,Damien Pichereau,28 janvier 1988
25,Marie-Ange Magne,20 novembre 1987
26,Cécile Muschotti,30 octobre 1987
27,Pierre-Henri Dumont,7 octobre 1987
28,Maxime Minot,20 juillet 1987
29,Alexandre Holroyd,17 mai 1987
30,Aina Kuric,15 mai 1987
31,Ludovic Mendes,11 avril 1987
32,Guillaume Kasbarian,28 février 1987
33,Esther Baron,6 février 1987
34,Aurore Bergé,13 novembre 1986
35,Pieyre-Alexandre Anglade,2 novembre 1986
36,Fabien Di Filippo,23 août 1986
37,Marine Brenier,11 août 1986
38,Paula Forteza,8 août 1986
39,Bérangère Couillard,24 juillet 1986
40,Guillaume Chiche,30 mars 1986
41,Aurélien Pradié,14 mars 1986
42,Thomas Mesnier,4 mars 1986
43,Guillaume Gouffier-Cha,1er février 1986
44,Delphine O,25 décembre 1985
45,Laetitia Avia,29 octobre 1985
46,Alice Thourot,12 octobre 1985
47,Fiona Lazaar,19 septembre 1985
48,Laurent Saint-Martin,22 juin 1985
49,Amélie De Montchalin,19 juin 1985
50,Julien Dive,21 mai 1985
51,Mounir Belhamiti,8 mars 1985
52,Pacôme Rupin,25 janvier 1985
53,Zivka Park,22 janvier 1985
54,Lise Magnier,31 décembre 1984
55,Fannette Charvier,31 décembre 1984
56,Thibault Bazin,27 octobre 1984
57,Fabien Matras,12 septembre 1984
58,Valéria Faure-Muntian,2 septembre 1984
59,Aurélien Taché,26 mai 1984
60,Laurianne Rossi,18 mai 1984
61,Mounir Mahjoubi,1er mars 1984
62,Loïc Kervran,11 février 1984
63,Jean-Charles Larsonneur,24 janvier 1984
64,Christophe Naegelen,30 décembre 1983
65,Émilie Guerel,18 décembre 1983
66,Alexandra Louis,17 septembre 1983
67,Benoit Simian,27 mai 1983
68,Carole Grandjean,18 mai 1983
69,Jean-Noël Barrot,13 mai 1983
70,M'jid El Guerrab,25 avril 1983
71,Joachim Son-Forget,15 avril 1983
72,Pierre-Alain Raphan,6 avril 1983
73,Coralie Dubost,4 mars 1983
74,Marie Le Vern,11 janvier 1983
75,Sonia Krimi,20 décembre 1982
76,Stéphane Trompille,1er décembre 1982
77,Gérald Darmanin,11 octobre 1982
78,Marjolaine Meynier-Millefert,30 septembre 1982
79,Brune Poirson,1er septembre 1982
80,Grégory Besson-Moreau,7 juillet 1982
81,Stanislas Guerini,14 mai 1982
82,Huguette Tiegna,1er avril 1982
83,Caroline Janvier,9 mars 1982
84,Jean-Baptiste Djebbari,26 février 1982
85,Adrien Morenas,1er janvier 1982
86,Blandine Brocard,3 novembre 1981
87,Olga Givernet,17 octobre 1981
88,Elsa Faucillon,6 août 1981
89,Thomas Gassilloud,21 mai 1981
90,Denis Masséglia,11 avril 1981
91,Laetitia Saint-Paul,21 janvier 1981
92,Laëtitia Romeiro Dias,15 janvier 1981
