,Nom,Né le,Département de naissance,Département de mort
0,Damien Meslot,11 novembre 1964,Inconnu,Inconnu
1,Pierre-Yves Le Borgn',4 novembre 1964,Finistère,Inconnu
2,Christine Cloarec-Le Nabour,28 octobre 1964,Inconnu,Inconnu
3,Malek Boutih,27 octobre 1964,Inconnu,Inconnu
4,Pascal Terrasse,26 octobre 1964,Gard,Inconnu
5,Manuel Aeschlimann,22 octobre 1964,Inconnu,Inconnu
6,David Lorion,15 octobre 1964,La,Inconnu
7,Monique Orphé,15 octobre 1964,La,Inconnu
8,Christine Pires Beaune,6 octobre 1964,Inconnu,Inconnu
9,Franck Marlin,30 septembre 1964,Loiret,Inconnu
10,Béatrice Santais,17 septembre 1964,Savoie,Inconnu
11,Sylvain Brial,16 septembre 1964,Inconnu,Inconnu
12,Éric Straumann,17 août 1964,Haut-Rhin,Inconnu
13,Luc Chatel,15 août 1964,Inconnu,Inconnu
14,Jean-Bernard Sempastous,5 août 1964,Hautes-Pyrénées,Inconnu
15,Annick Girardin,3 août 1964,Inconnu,Inconnu
16,Christophe Di Pompeo,15 juillet 1964,Nord,Inconnu
17,Jérôme Rivière,8 juillet 1964,Inconnu,Inconnu
18,Patrick Hetzel,2 juillet 1964,Moselle,Inconnu
19,Emmanuelle Anthoine,2 juillet 1964,Drôme,Inconnu
20,Napole Polutele,25 juin 1964,Inconnu,Inconnu
21,Stéphane Claireaux,23 juin 1964,Inconnu,Inconnu
22,Jean-Marie Fiévet,19 juin 1964,Deux-Sèvres,Inconnu
23,Agnès Thill,2 juin 1964,Seine,Inconnu
24,Stéphane Saint-André,21 mai 1964,Inconnu,Inconnu
25,Eric Berdoati,9 mai 1964,Inconnu,Inconnu
26,Jean-François Copé,5 mai 1964,Inconnu,Inconnu
27,Didier Robert,26 avril 1964,La,Inconnu
28,Sylviane Bulteau,21 avril 1964,Inconnu,Inconnu
29,Jean-Claude Perez,31 mars 1964,Aude,Inconnu
30,Martine Wonner,27 mars 1964,Moselle,Inconnu
31,Dominique Potier,17 mars 1964,Meurthe,Inconnu
32,Stéphane Alaize,16 mars 1964,Isère,Drôme
33,Jean-Philippe Ardouin,5 mars 1964,Charente-Inférieure,Inconnu
34,Patrice Perrot,24 février 1964,Nièvre,Inconnu
35,Jacques Houssin,16 février 1964,Nord,Inconnu
36,Jacques Houssin,16 février 1964,Nord,Inconnu
37,Jacques Houssin,27 juillet 1928,Nord,Inconnu
38,Jacques Houssin,27 juillet 1928,Nord,Inconnu
39,Michèle De Vaucouleurs,12 février 1964,Savoie,Inconnu
40,Catherine Beaubatie,10 février 1964,Haute-Vienne,Inconnu
41,Yves Censi,8 février 1964,Aveyron,Inconnu
42,Alain Leboeuf,2 février 1964,Loire-Inférieure,Inconnu
43,Thierry Braillard,24 janvier 1964,Inconnu,Inconnu
44,Philippe Bies,14 janvier 1964,Moselle,Inconnu
45,Frédérique Massat,14 janvier 1964,Haute-Garonne,Inconnu
46,Christophe Masse,16 novembre 1963,Inconnu,Inconnu
47,Philippe Chalumeau,8 novembre 1963,Charente-Inférieure,Inconnu
48,Nadine Morano,6 novembre 1963,Meurthe,Inconnu
