,Nom,Né le,Département de naissance,Département de mort,nombre de mandat,age en année,premier dpt,élection locale
0,Ludovic Pajot,18 novembre 1993,,,,,,False
1,Typhanie Degois,6 janvier 1993,,,,,,False
2,Lénaïck Adam,19 février 1992,,,,,,False
3,Pierre Henriet,26 novembre 1991,,,,,,False
4,Robin Reda,10 mai 1991,,,,,,False
5,Bénédicte Peyrol,23 mars 1991,,,,,,False
6,Sandrine Le Feur,18 mars 1991,,,,,,False
7,Dimitri Houbron,12 février 1991,,,,,,False
8,Marie Lebec,17 décembre 1990,,,,,,False
9,Mickaël Nogal,26 novembre 1990,,,,,,False
10,Adrien Quatennens,23 mai 1990,,,,,,False
11,Raphaël Schellenberger,14 février 1990,,,,,,False
12,Hervé Berville,15 janvier 1990,,,,,,False
13,Marion Maréchal-Le Pen,10 décembre 1989,,,,,,False
14,Ugo Bernalicis,25 septembre 1989,,,,,,False
15,Damien Adam,28 juin 1989,,,,,,False
16,Gabriel Attal,16 mars 1989,,,,,,False
17,Sarah El Haïry,16 mars 1989,,,,,,False
18,Pierre Person,22 janvier 1989,,,,,,False
19,Mathilde Panot,15 janvier 1989,,,,,,False
20,Anne-Laure Cattelot,25 octobre 1988,,,,,,False
21,Sacha Houlié,8 octobre 1988,,,,,,False
22,Jean-Marc Zulesi,6 juin 1988,,,,,,False
23,Ian Boucard,5 mai 1988,,,,,,False
24,Damien Pichereau,28 janvier 1988,,,,,,False
25,Marie-Ange Magne,20 novembre 1987,,,,,,False
26,Cécile Muschotti,30 octobre 1987,,,,,,False
27,Pierre-Henri Dumont,7 octobre 1987,,,,,,False
28,Maxime Minot,20 juillet 1987,,,,,,False
29,Alexandre Holroyd,17 mai 1987,,,,,,False
30,Aina Kuric,15 mai 1987,,,,,,False
31,Ludovic Mendes,11 avril 1987,,,,,,False
32,Guillaume Kasbarian,28 février 1987,,,,,,False
33,Esther Baron,6 février 1987,,,,,,False
34,Aurore Bergé,13 novembre 1986,,,,,,False
35,Pieyre-Alexandre Anglade,2 novembre 1986,,,,,,False
36,Fabien Di Filippo,23 août 1986,,,,,,False
37,Marine Brenier,11 août 1986,,,,,,False
38,Paula Forteza,8 août 1986,,,,,,False
39,Bérangère Couillard,24 juillet 1986,,,,,,False
40,Guillaume Chiche,30 mars 1986,,,,,,False
41,Aurélien Pradié,14 mars 1986,,,,,,False
42,Thomas Mesnier,4 mars 1986,,,,,,False
43,Guillaume Gouffier-Cha,1er février 1986,,,,,,False
44,Delphine O,25 décembre 1985,,,,,,False
45,Laetitia Avia,29 octobre 1985,,,,,,False
46,Alice Thourot,12 octobre 1985,,,,,,False
47,Fiona Lazaar,19 septembre 1985,,,,,,False
48,Laurent Saint-Martin,22 juin 1985,,,,,,False
49,Amélie De Montchalin,19 juin 1985,,,,,,False
50,Julien Dive,21 mai 1985,,,,,,False
51,Mounir Belhamiti,8 mars 1985,,,,,,False
52,Pacôme Rupin,25 janvier 1985,,,,,,False
53,Zivka Park,22 janvier 1985,,,,,,False
54,Lise Magnier,31 décembre 1984,,,,,,False
55,Fannette Charvier,31 décembre 1984,,,,,,False
56,Thibault Bazin,27 octobre 1984,,,,,,False
57,Fabien Matras,12 septembre 1984,,,,,,False
58,Valéria Faure-Muntian,2 septembre 1984,,,,,,False
59,Aurélien Taché,26 mai 1984,,,,,,False
60,Laurianne Rossi,18 mai 1984,,,,,,False
61,Mounir Mahjoubi,1er mars 1984,,,,,,False
62,Loïc Kervran,11 février 1984,,,,,,False
63,Jean-Charles Larsonneur,24 janvier 1984,,,,,,False
64,Christophe Naegelen,30 décembre 1983,,,,,,False
65,Émilie Guerel,18 décembre 1983,,,,,,False
66,Alexandra Louis,17 septembre 1983,,,,,,False
67,Benoit Simian,27 mai 1983,,,,,,False
68,Carole Grandjean,18 mai 1983,,,,,,False
69,Jean-Noël Barrot,13 mai 1983,,,,,,False
70,M'jid El Guerrab,25 avril 1983,,,,,,False
71,Joachim Son-Forget,15 avril 1983,,,,,,False
72,Pierre-Alain Raphan,6 avril 1983,,,,,,False
73,Coralie Dubost,4 mars 1983,,,,,,False
74,Marie Le Vern,11 janvier 1983,,,,,,False
75,Sonia Krimi,20 décembre 1982,,,,,,False
76,Stéphane Trompille,1er décembre 1982,,,,,,False
77,Gérald Darmanin,11 octobre 1982,,,,,,False
78,Marjolaine Meynier-Millefert,30 septembre 1982,,,,,,False
79,Brune Poirson,1er septembre 1982,,,,,,False
80,Grégory Besson-Moreau,7 juillet 1982,,,,,,False
81,Stanislas Guerini,14 mai 1982,,,,,,False
82,Huguette Tiegna,1er avril 1982,,,,,,False
83,Caroline Janvier,9 mars 1982,,,,,,False
84,Jean-Baptiste Djebbari,26 février 1982,,,,,,False
85,Adrien Morenas,1er janvier 1982,,,,,,False
86,Blandine Brocard,3 novembre 1981,,,,,,False
87,Olga Givernet,17 octobre 1981,,,,,,False
88,Elsa Faucillon,6 août 1981,,,,,,False
89,Thomas Gassilloud,21 mai 1981,,,,,,False
90,Denis Masséglia,11 avril 1981,,,,,,False
91,Laetitia Saint-Paul,21 janvier 1981,,,,,,False
92,Laëtitia Romeiro Dias,15 janvier 1981,,,,,,False
93,Laurent Marcangeli,10 décembre 1980,,,,,,False
94,Naïma Moutchou,4 novembre 1980,,,,,,False
95,Bastien Lachaud,5 août 1980,,,,,,False
96,Émilie Bonnivard,2 août 1980,,,,,,False
97,Danièle Obono,12 juillet 1980,,,,,,False
98,Audrey Dufeu Schubert,3 juin 1980,,,,,,False
99,Fanélie Carrey-Conte,16 mai 1980,,,,,,False
100,Olivier Véran,22 avril 1980,,,,,,False
101,Damien Abad,5 avril 1980,,,,,,False
102,Anissa Khedher,1er avril 1980,,,,,,False
103,Sira Sylla,14 mars 1980,,,,,,False
104,Nadia Hai,8 mars 1980,,,,,,False
105,Aude Amadou,29 février 1980,,,,,,False
106,Stéphanie Do,20 décembre 1979,,,,,,False
107,Géraldine Bannier,22 novembre 1979,,,,,,False
108,Romain Colas,22 novembre 1979,,,,,,False
109,Célia De Lavergne,21 novembre 1979,,,,,,False
110,Claire Pitollat,17 septembre 1979,,,,,,False
111,Christophe Jerretie,31 août 1979,,,,,,False
112,Virginie Duby-Muller,16 août 1979,,,,,,False
113,Céline Calvez,24 juillet 1979,,,,,,False
114,Alexandre Freschi,17 mai 1979,,,,,,False
115,Julien Borowczyk,2 mai 1979,,,,,,False
116,Florian Bachelier,5 avril 1979,,,,,,False
117,Razzy Hammadi,22 février 1979,,,,,,False
118,Benjamin Dirx,25 janvier 1979,,,,,,False
119,Sébastien Denaja,14 janvier 1979,,,,,,False
120,Jean François Mbaye,1er janvier 1979,,,,,,False
121,Stéphanie Pernod Beaudon,13 octobre 1978,,,,,,False
122,Olivia Gregoire,30 septembre 1978,,,,,,False
123,Fabien Gouttefarde,27 septembre 1978,,,,,,False
124,Catherine Fabre,19 septembre 1978,,,,,,False
125,Mathieu Hanotin,22 août 1978,,,,,,False
126,Olivier Dussopt,16 août 1978,,,,,,False
127,Bruno Studer,18 juin 1978,,,,,,False
128,Julien Aubert,11 juin 1978,,,,,,False
129,Seybah Dagoma,9 juin 1978,,,,,,False
130,Jean-Charles Colas-Roy,2 mai 1978,,,,,,False
131,Élodie Jacquier-Laforge,15 avril 1978,,,,,,False
132,Amélia Lakrafi,20 mars 1978,,,,,,False
133,Perrine Goulet,19 mars 1978,,,,,,False
134,Hugues Renson,11 février 1978,,,,,,False
135,Laurent Grandguillaume,20 janvier 1978,,,,,,False
136,Benjamin Griveaux,29 décembre 1977,,,,,,False
137,Muriel Ressiguier,21 décembre 1977,,,,,,False
138,Gaël Le Bohec,4 novembre 1977,,,,,,False
139,Émilie Chalas,18 octobre 1977,,,,,,False
140,Matthias Fekl,4 octobre 1977,,,,,,False
141,Sylvia Pinel,28 septembre 1977,,,,,,False
142,Pierre-Yves Bournazel,31 août 1977,,,,,,False
143,Sébastien Pietrasanta,7 août 1977,,,,,,False
144,Charlotte Lecocq,17 juillet 1977,,,,,,False
145,Nicolas Bays,1er mai 1977,,,,,,False
146,Thierry Robert,1er avril 1977,,,,,,False
147,Jean Terlier,2 mars 1977,,,,,,False
148,Jennifer De Temmerman,16 février 1977,,,,,,False
149,Jean-Baptiste Moreau,14 février 1977,,,,,,False
150,Caroline Fiat,28 janvier 1977,,,,,,False
151,Guillaume Larrivé,24 janvier 1977,,,,,,False
152,Marie-Pierre Rixain,18 janvier 1977,,,,,,False
153,Adrien Taquet,3 janvier 1977,,,,,,False
154,Sébastien Cazenove,28 décembre 1976,,,,,,False
155,Xavier Batut,26 décembre 1976,,,,,,False
156,Christophe Premat,7 décembre 1976,,,,,,False
157,Cathy Racon-Bouzon,22 novembre 1976,,,,,,False
158,Marie Guévenoux,2 novembre 1976,,,,,,False
159,Bérangère Abba,22 octobre 1976,,,,,,False
160,Bruno Bilde,22 septembre 1976,,,,,,False
161,Caroline Abadie,7 septembre 1976,,,,,,False
162,Paola Zanetti,1er septembre 1976,,,,,,False
163,Guillaume Peltier,27 août 1976,,,,,,False
164,Valérie Petit,23 juin 1976,,,,,,False
165,Bénédicte Taurine,18 juin 1976,,,,,,False
166,Alexandra Valetta Ardisson,7 juin 1976,,,,,,False
167,Olivier Becht,28 avril 1976,,,,,,False
168,Arnaud Leroy,23 avril 1976,,,,,,False
169,Gwendal Rouillard,20 avril 1976,,,,,,False
170,Fabien Lainé,15 avril 1976,,,,,,False
171,Christelle Dubos,26 mars 1976,,,,,,False
172,Patrice Anato,14 mars 1976,,,,,,False
173,Yann Capet,31 décembre 1975,,,,,,False
174,Eduardo Rihan Cypel,13 novembre 1975,,,,,,False
